Metric Name (CN),English Name,English Abbreviation,Category,Lower Bound,Upper Bound,Unit,Professional Interpretation,Recommendations,Applicable Scope,Health Interpretation,Aliases
Thyroxine,Thyroxine,T4,Thyroid Function,61,330,pmol/L,Thyroxine is a cellular product, a gray-white needle-like crystal. Thyroid cells synthesize and secrete thyroxine, including thyroxine (T4) and triiodothyronine (T3). Oral thyroxine is easily absorbed. T4 absorption rate is about 35.8% (not constant)," and T3 about 95% (relatively constant). Both bind plasma proteins at >99%. T4 can be deiodinated by 5' deiodinase to T3 to take effect, or deiodinated by other enzymes to reverse T3 and 3,3'-T2 for inactivation. T3 acts fast and strong but lasts shorter; T4 acts slower and weaker but lasts longer. It increases metabolic activity of various tissues, raises metabolic rate, and may cause sympathetic overexcitement with symptoms similar to hyperthyroidism. Common clinical forms include thyroid tablets and levothyroxine sodium. Mainly used for hypothyroidism or those with a tendency to deficiency.,Thyroxine is important; hypothyroid patients should ensure adequate replacement.,Mainly used for hypothyroidism or tendency to deficiency.,Thyroxine promotes intestinal glucose absorption, stimulates hepatic glycogen breakdown to glucose, and raises blood glucose. In hyperthyroidism, excessive thyroxine secretion accelerates metabolic oxidation, releasing excess heat; symptoms include sweating, heat intolerance, increased appetite but weight loss due to energy deficit, plus palpitations and exophthalmos.",
Alpha-fetoprotein,Alpha-fetoprotein,AFP,Tumor Marker,0,25,μg/L,Alpha-fetoprotein (AFP) is a glycoprotein in the albumin family, mainly synthesized by fetal liver cells and yolk sac. It is high in fetal circulation, declines after birth," and is extremely low in adult serum. AFP is closely related to the occurrence and development of liver cancer and various tumors, serving as a positive marker; clinically used mainly for diagnosis and therapeutic monitoring of primary liver cancer.,Dynamic observation of serum AFP helps differentiate benign vs malignant liver disease and aids early liver cancer diagnosis. AFP elevation should be judged with other tests.,Serum testing in children and adults; auxiliary diagnosis for liver cancer, hepatoblastoma, gonadal teratoblastoma, hepatitis, testicular cancer, ovarian tumors, malignant teratoma, pancreatic, gastric, intestinal, lung cancers.,In healthy adults AFP is very low. Pregnant women show AFP positivity physiologically. Elevation may indicate liver cancer or other malignancies, but benign liver disease can also raise it; further workup is needed.",
Alpha-fetoprotein quantitative,Alpha-fetoprotein quantitative,AFP,Tumor Marker,0,25,ng/ml,Elevated AFP levels may be associated with liver cancer, hepatitis, cirrhosis," or germ cell tumors. For patients with abnormal AFP, clinical presentation and other tests should be combined for comprehensive evaluation and individualized treatment. Regular AFP testing helps early detection and timely intervention to improve prognosis.,High-risk liver cancer populations (e.g., HBV/HCV, cirrhosis): check AFP every 6 months with liver ultrasound.",
Pregnant women: AFP is used for Down syndrome screening (with free β-HCG," etc.); abnormal elevation may relate to fetal neural tube defects.""",Adults,,,,,,,,,
Carcinoembryonic antigen,Carcinoembryonic antigen,CEA,Tumor Marker,0,2.5,ng/ml,Carcinoembryonic antigen is an acidic glycoprotein with human embryonic antigen properties, present in tumor cells derived from endodermal differentiation. Serum concentration correlates with many tumors, especially gastrointestinal cancers.,"CEA >20 ng/ml often suggests GI tumors; further evaluation recommended.,Used for auxiliary diagnosis and postoperative monitoring of colorectal, pancreatic, gastric, small cell lung, breast, medullary thyroid cancers.,97% of healthy adults have CEA <2.5 ng/ml. Elevation also seen in pregnancy, cardiovascular disease, diabetes, nonspecific colitis, etc.",
Carcinoembryonic antigen quantitative,Carcinoembryonic antigen quantitative,CEA,Tumor Marker,0,5,ug/L,CEA is an acidic glycoprotein with human embryonic antigen specificity, first extracted by Gold and Freedman in 1965 from colon cancer and embryonic tissue. Elevated CEA can be detected in various tumors, long-term smokers," and some non-malignant diseases.,Tumor markers require cautious interpretation. CEA is a pan-tumor marker elevated in many cancers (notably GI and lung). Elevation is not always malignancy—can rise in inflammation or pregnancy. If CEA >20 µg/L, rule out cancer. Also used to monitor treatment response/recurrence/metastasis; persistent or large rises warrant evaluation with imaging/ultrasound.,Adults,",
Leukocytes,Leukocytes,WBC,Blood Routine,4,10,×10^9/L,Elevation suggests infection/inflammation; decrease seen with chemotherapy/immunosuppression.,Marked elevation or low granulocytes: consult hematology.,"Adults, Children",Leukocytes are key immune components; count changes reflect immune status.,
White blood cell count,White blood cell count,WBC,Blood Routine,4,10,10^9/L,Leukocytes are crucial blood cells with roles in phagocytosis, antibody production, healing," pathogen defense, and immunity. Five subtypes: neutrophils 0.5–0.7, lymphocytes 0.2–0.4, monocytes 0.03–0.08, eosinophils 0.01–0.05, basophils <0.01. WBC count is often the first focus in CBC.,\""WBC elevation can be physiologic or pathologic. Reductions also matter.\n1. Physiologic rise: newborns, late pregnancy, labor, post-strenuous exercise.\n2. Pathologic rise: suppurative bacterial infection, uremia, leukemia, tissue injury, surgery, etc.\n3. Decrease: viral infection, typhoid/paratyphoid, kala-azar, malaria, aplastic anemia, post chemo/radiotherapy.\"",Adults,",
Leukocyte esterase,Leukocyte esterase,LEU,Urine Routine,Negative,Strong positive (2+),None,Leukocyte esterase is a neutrophil-specific enzyme. Positive indicates neutrophil infiltration and inflammation. Notes: 1) Only shows presence of neutrophils, not pathogen type; 2) 0.5–15 cells/μL can be positive; 3) Renal transplant rejection dominated by lymphocytes may yield false negatives; 4) Drugs/specimen factors can cause false positives/negatives.,1. Positive: combine symptoms/other tests (e.g.," urine culture) to define infection. 2. Use fresh urine. 3. Exclude drug interference (nitrofurantoin → false positive; gentamicin → false negative). 4. Negative cannot fully exclude infection; if suspect TB, investigate further.,1. UTI screening (pyelonephritis, UTI); 2. Vaginitis assessment (vaginal cleanliness); 3. Post–kidney transplant monitoring; 4. Routine check.,Negative suggests normal mucosa; weak+ (1+) may be menses/meds; strong+ (2+) implies clear inflammation—see doctor. Strenuous exercise/fever may cause transient positive.",
Albumin,Albumin,ALB,Liver Function,35,55,g/L,Low value suggests impaired hepatic synthesis or malnutrition; imbalance may indicate immune issues.,Adjust nutrition and assess liver/kidney function.,"Adults, Children",Albumin reflects nutrition and liver function.,
Direct bilirubin,Direct bilirubin,DBil,Liver Function,0,6.8,μmol/L,Direct bilirubin (DBil), aka conjugated bilirubin, forms when indirect bilirubin is conjugated with glucuronic acid in the liver. Water-soluble; reacts directly with diazo reagent and is excreted in urine. Liver metabolism involves uptake," conjugation, and excretion; elevation indicates post-hepatic excretion obstruction. Helps jaundice typing.,\""Elevation mainly in obstructive jaundice, hepatocellular jaundice, liver cancer, pancreatic head cancer, cholelithiasis, cholangiocarcinoma.\nJaundice differentiation:\n1. Hemolytic: excess indirect bilirubin from RBC destruction exceeds conjugation.\n2. Hepatocellular: liver damage reduces conjugation and obstructs canaliculi, raising both indirect and direct bilirubin.\n3. Obstructive: intra/extrahepatic blockage prevents bile excretion, raising direct bilirubin in blood.\"",Adults,",
