指标名,英文名,英文简称,类别,左边界,右边界,单位,专业解读,建议,适用范围,健康解读
次黄嘌呤鸟嘌呤磷酸核糖基转移酶,Hypoxanthine-guanine phosphoribosyltransferase,HPRT,酶学检测,2,10,units,HPRT基因的缺损可分为完全缺损及部份缺损。若完全缺损，叫做Lesch-Nyhan症候群，其血液中无法侦测到HPRT酵素的活性，临床症状除了痛风外，尚包括神经系统的障碍，如舞蹈症、智能低下痉挛、自残及泌尿系统的结石。若HPRT基因部份缺损，其血液中酵素活性约介于2至10之间，临床的症状包括痛风及尿路结石，但不会有神经系统及行为方面的异常。,对于疑似HPRT缺乏的患者，应进行基因检测以确认诊断。对于确诊患者，应定期监测尿酸水平，并采取适当的治疗措施以预防痛风和其他相关并发症。,适用于疑似HPRT缺乏的患者，特别是那些有痛风、神经系统障碍或尿路结石症状的患者。,HPRT酶对于嘌呤的生物合成及中枢神经系统功能都很重要。该酶的部分缺乏可导致尿酸过量生成，进而引发痛风和其他相关健康问题。
氨基甲酰磷酸合成酶,Carbamoyl phosphate synthetase,CPS,酶学检测,1,4,,氨基甲酰磷酸合成酶（CPS）是生物体内催化氨基甲酰磷酸生成的核心酶类，根据亚细胞定位和代谢功能可分为两种同工酶：CPSI定位在线粒体，以游离氨为氮源参与尿素循环；CPSII存在于胞液中，利用谷氨酰胺为氮源驱动嘧啶核苷酸合成。两种同工酶具有不同的调控机制：CPSI活性依赖N乙酰谷氨酸变构激活，而CPSII受UDP/UTP抑制并被ATP/PRPP激活。近年研究发现CPSI在记忆性T细胞中通过维持氨代谢平衡调控免疫功能，其表达缺陷会导致效应性T细胞氨毒性死亡。,,,CPSI缺陷会导致高氨血症和尿素循环障碍，而CPSII突变会引发乳清酸尿症，表现为生长发育迟缓和神经系统损伤。
氯过氧化物酶,Chloroperoxidase,CPO,酶学检测,pH 2.75,pH 3.0,kDa,CPO是一种多功能过氧化物酶，能催化有机化合物的氧化、卤化及环氧化等多种反应，在电化学催化、手性合成及绿色化学等领域有重要应用。其分子量约42 kDa，最适反应条件为pH 2.75-3.0。,在介孔材料固定化后可提升水热稳定性23倍（45℃条件下），重复使用20次仍保持活性，适用于乙腈等极性溶剂中的催化反应。,电化学催化、药物合成、绿色化学等领域，如烯烃环氧化、芳香烃氯化、甲苯氧化及手性合成等反应。,CPO源自Caldariomyces fumago真菌，储存条件建议为2-8℃。其催化反应高效且环保，适用于绿色化学应用。
泪液乳酸脱氢酶,Tear lactate dehydrogenase,tLDH,眼科检验,1.29,9.02,U/L,泪液中的LDH主要来自眼角膜上皮，浓度约为血清中的20倍。泪LDH主要含M亚基，以LDH5和LDH4含量最高。在细菌性角膜溃疡和角结膜化学伤时，泪LDH活性下降；角结膜上皮损伤时，LDH同工酶HM比值和MDHm升高，MDHm更能反映角膜组织损害的情况和病变程度。,检查前避免用手揉眼睛，以防感染或加重病情。检查时需配合医生指示。,角膜疾病的诊断，如细菌性角膜溃疡、角结膜化学伤、沙眼和慢性结膜炎的鉴别诊断。,健康人泪液中LDH活性在1.29-9.02 U/L之间，MDH同工酶以MDHs为主（80-98.1%），MDHm超过20%为异常。泪LDH同工酶和LDH/MDH比值的测定有助于眼部疾病的诊断和鉴别。
淋巴细胞,Lymphocytes,LYM,血常规,0.2,0.4,%,淋巴细胞是白细胞的一种，是体积最小的白细胞。其由淋巴器官产生，主要存在于淋巴管中循环的淋巴液中，是机体免疫应答功能的重要细胞成分，是淋巴系统几乎全部免疫功能的主要执行者，是对抗外界感染和监控体内细胞变异的一线“士兵”。淋巴细胞是一类具有免疫识别功能的细胞系，按其发生迁移、表面分子和功能的不同，可分为T淋巴细胞（又名T细胞）、B淋巴细胞（又名B细胞）和自然杀伤(NK)细胞。T细胞和B细胞都是抗原特异性淋巴细胞，它们的最初来源是相同的，都来自造血组织。,如果淋巴细胞数量异常，建议咨询医生进行进一步检查以确定原因。,适用于血液检查，用于评估免疫系统功能和感染情况。,淋巴细胞数量在正常范围内表示免疫系统功能正常。数量增多可能提示感染性疾病、某些血液病或急性传染病恢复期；数量减少可能与应用化学药物、接触放射线、免疫缺陷性疾病或某些传染病的急性期有关。
淋巴细胞百分比,Lymphocyte percentage,LYM%,血常规,20,40,%,淋巴细胞具有产生和运载抗体、防御病毒感染的作用。淋巴细胞百分比率为临床化验血液常规检测，正常值为20.0%～40.0%。淋巴细胞百分比率增加，主要见于感染性疾病，减少则主要为免疫缺陷病等。,"1.增高
主要见于感染性疾病，且主要为病毒感染，如传染性淋巴细胞增多症、传染性单核细胞增多症、麻疹、水痘、流行性腮腺炎、病毒性肝炎、流行性出血热，也可见于百日咳、结核、布鲁病、梅毒等。此外，肿瘤性疾病（白血病、淋巴瘤）、急性传染病恢复期、器官移植后也可出现淋巴细胞增多。
2.降低
主要见于应用肾上腺皮质激素、烷化剂、抗淋巴细胞球蛋白等治疗，以及放射线损伤、免疫缺陷病、丙种球蛋白缺乏症等。",成人,
淋巴细胞绝对值,Lymphocyte count,LYM#,血常规,1,4.8,10^9/L,淋巴细胞是白细胞的一种，占外周血白细胞的20%-40%，主要负责识别和清除病原体（如病毒、细菌）及异常细胞，参与免疫调节。根据功能可分为T细胞、B细胞、NK细胞三类，分别负责细胞免疫、体液免疫和直接杀伤异常细胞。,淋巴细胞绝对值高可能由多种原因引起，包括病毒感染、细菌感染、血液系统疾病、自身免疫性疾病等。针对这些原因，应采取不同的治疗措施，如抗病毒治疗、抗生素治疗、化疗、放疗等。,成人,
游离三碘甲状腺原氨酸FT3,Free triiodothyronine,FT3,甲状腺功能,3.1,6.8,pmol/L,游离三碘甲状腺原氨酸（FT3）是反映甲状腺生理活性状态的重要激素指标，其正常值范围为2.63-5.7 pmol/L（实验室检测方法可能影响具体数值）。FT3水平升高多见于甲状腺功能亢进症，可引发心律失常、心绞痛等心血管系统并发症，需通过联合检测FT3、FT4、TSH及影像学检查明确病因。治疗方案包含抗甲状腺药物、碘131治疗和手术干预，患者需配合长期监测与生活方式调整。,"甲状腺功能亢进症
FT3升高是甲状腺功能亢进症的早期敏感指标，其水平变化早于FT4，且常伴随促甲状腺激素（TSH）显著抑制。甲亢患者可能出现心悸、体重下降等症状，严重者可发展为甲状腺危象。
其他异常成因
生理性波动：妊娠期激素水平变化、长期精神压力或睡眠不足可能导致FT3一过性升高
药物因素：过量服用甲状腺素制剂可干扰检测结果
罕见病因：甲状腺功能亢进症（甲亢）、垂体促甲状腺激素瘤、甲状腺激素抵抗综合征等疾病需通过专项检查鉴别",成人,
游离甲状腺素,Free thyroxine,FT4,甲状腺功能,12,22,pmol/L,甲状腺素是由甲状腺滤泡上皮细胞合成和分泌的激素。妊娠、哺乳、肝硬化、肾病综合征等可使血清甲状腺素结合球蛋白浓度及其结合力发生改变，可使游离甲状腺素浓度发生变化。游离甲状腺素的测定不受血清结合蛋白（主要是TBG）的影响，是甲状腺功能体外试验的灵敏指标。即使在生理及病理情况下引起血清甲状腺素结合球蛋白浓度和结合力改变时，也能较准确地反映甲状腺的功能。,四碘甲状腺原氨酸（T4）是甲状腺生理调节系统的一部分。对总代谢有作用，绝大多数的T4与其转运蛋白质（TBG、前白蛋白、白蛋白）结合，FT4测定是临床常规诊断的重要部分。当怀疑甲状腺功能紊乱时，FT4和促甲状腺素（TSH）常常一起测定。FT4也适合用作甲状腺抑制治疗的监测手段。FT4测定的优点是不受其结合蛋白质浓度和结合特性变化的影响。血清FT4是甲状腺功能体外试验的灵敏指标，在生理及病理情况下引起TBG结合力和浓度改变时，能较准确反映甲状腺的功能，对甲状腺功能低下诊断优于FT3。在甲亢早期及随访，或某些疾病引起的低T3综合征等情况，与FT3及TSH测定配合，可提高诊断的符合率。,成人,
游离甲状腺素FT4,Free thyroxine,FT4,甲状腺功能,9,23,pmol/L,游离甲状腺素（FT4）是血液中未与蛋白质结合的甲状腺素，直接反映甲状腺功能状态。它是评估甲状腺疾病（如甲亢、甲减）的重要指标，常与TSH、FT3联合检测，帮助诊断和监测治疗效果。甲状腺素（T4）由甲状腺分泌，大部分与血液中的蛋白质（如甲状腺结合球蛋白）结合，仅约0.03%以游离形式存在，称为游离甲状腺素（FT4）。由于FT4不受结合蛋白浓度变化影响，能更真实反映甲状腺的活性状态，是临床评估甲状腺功能的核心指标之一,"甲亢（甲状腺功能亢进）1.
FT4升高：常见于格雷夫斯病、甲状腺炎早期或过量服用甲状腺激素。
伴随TSH显著降低（通常 < 0.1 mU/L）。
甲减（甲状腺功能减退）2.
FT4降低：提示甲状腺激素分泌不足，常见于桥本甲状腺炎、碘缺乏或术后甲状腺功能损伤。
伴随TSH升高（通常 > 10 mU/L）。
亚临床甲状腺疾病3.
FT4正常但TSH异常（如亚临床甲减TSH轻度升高），可能提示早期病变，需定期复查。
妊娠期监测4.
妊娠期甲状腺结合球蛋白增加，总T4（TT4）可能升高，但FT4更能准确反映实际功能。",成人,
球蛋白,Globulin,GLO,肝功能,20,35,g/L,球蛋白是一种存在于人体的血清蛋白，具有免疫作用。当人体的免疫球系统遇到外来的入侵物时，会根据入侵物的特性产生不同数量的球蛋白，如果入侵物比较难以消灭，它就会刺激淋巴系统产生更多的球蛋白直到入侵物被消灭为止。,"血清球蛋白增高
血清球蛋白增高主要以γ球蛋白增高为主，可能为以下疾病的发生。
①炎症或慢性感染性疾病：如结核、疟疾、黑热病、麻风病、血吸虫病、肝炎、亚急性心内膜炎等。
②自身免疫性疾病：风湿热、红斑狼疮、类风湿关节炎、自身免疫性肝硬化等。
③某些恶性肿瘤：骨髓瘤和淋巴瘤、原发性巨球蛋白血症。 [3]
血清球蛋白降低
血清球蛋白降低原因主要是合成减少，可能为生理性减少或者是疾病发生，具体如下：
①生理性减少：出生后至3岁。
②免疫功能抑制：如应用肾上腺皮质激素和免疫抑制剂。
③低γ球蛋白血症。",成人,
甘油三酯,Triglycerides,TG,血脂,0,1.7,mmol/L,升高临床意义不大，但极高可能致胰腺炎。,建议控制体重、减少碳水摄入，必要时就诊内分泌科。,成人,TG升高是代谢综合征和胰腺炎的风险因素。
甲状腺球蛋白,Thyroglobulin,Tg,甲状腺功能,5,40,μg/L,甲状腺球蛋白是一种由甲状腺滤泡上皮细胞分泌的大分子糖蛋白，是甲状腺滤泡中非常重要的蛋白质，正常值通常为5到40μg/L。应该随时关注身体状况，咨询医生定期进行体检，以便及时发现和处理病情变化。,"甲状腺球蛋白的正常值并不是一成不变的，可能会受到多种因素的影响，如年龄、性别、生理状态等。例如在妊娠和哺乳期的女性体内，甲状腺球蛋白水平可能会发生变化。不同实验室和检测方法的正常值范围也可能存在差异。因此在解读甲状腺球蛋白检测结果时，应结合具体的临床情况以及实验室的正常值范围进行综合判断。

如果甲状腺功能出现问题，应及时就医。同时饮食应以清淡、易消化为主，避免摄入过多油腻、刺激性食物，如炸食、辛辣食物等，多吃新鲜蔬菜和水果。",成人,
